account,market,segment,observed_public_signal,hypothesis_to_validate,denysoft_entry,evidence_bridge,score,state,public_source
"CSN Avenue Collision","Canada / GTA","Automotive service operations","Third-generation family-owned collision business with multiple GTA locations and manufacturer/dealership relationships","Multi-location customer intake, repair-status communication and evidence handoffs may benefit from a more unified service-system layer","Service System Diagnostic; Customer/Operator Workflow","Taller Express; AXOM",9,"VALIDATE","https://www.avenuecollision.com/about-avenue-collision"
"Atlantic Collision Group","Canada / GTA","Automotive service operations","Long-running collision group operating four locations after previously scaling to a much larger network","Cross-location operations, customer communication and standardized evidence may create system-modernization leverage","Service System Diagnostic; Operations System Modernization","Taller Express; AXOM",8,"VALIDATE","https://www.atlantic-group.ca/about"
"Toronto Physiotherapy","Canada / Toronto","Health / wellness services","Physiotherapist-owned practice with two Toronto clinics, online booking and specialized service lines","Multi-location booking, intake and patient communication may support a coherent digital client journey without replacing clinical judgment","Digital Client Journey Diagnostic; Client Experience","Baltica; AXOM",7,"VALIDATE","https://torontophysiotherapy.ca/services/physiotherapy-and-rehabilitation/"
"Physical Therapy One","Canada / Ontario","Health / wellness services","Multidisciplinary clinics with many convenient locations and independently owned/operated sites","Distributed locations and multidisciplinary handoffs may benefit from consistent intake, routing and customer-experience systems","Service System Diagnostic; Customer Portal","Taller Express; Baltica",8,"VALIDATE","https://www.physicaltherapyone.com/about-us"
"The Central","Canada / Toronto","Boutique real estate","Founder/partner-led boutique brokerage focused on architecturally significant homes and strategic storytelling","Premium lead qualification, seller/buyer journey and evidence-rich property/client experience may create product opportunity","Premium Digital Experience Diagnostic","Baltica; Denysoft visual authority",7,"VALIDATE","https://www.thecentral.ca/"
"Taza Real Estate","Canada / Toronto","Boutique real estate","Founder-led boutique brokerage combining real-estate, finance/accounting and operational expertise","Founder-led growth and high-touch client service may benefit from structured lead/intake/client-journey tooling","Digital Client Journey Diagnostic; Lead + Intake System","Mastertax; Baltica",8,"VALIDATE","https://www.tazarealestate.com/about/"
"Citibloc Realty","Canada / Toronto","Boutique real estate","Multilingual boutique brokerage spanning residential, commercial and development services","Multiple service paths and multilingual audiences may create a useful qualification/routing and client-experience opportunity","Lead + Intake System; Premium Digital Experience","Mastertax; Baltica",8,"VALIDATE","https://citiblocrealty.com/"
"Mayo Law","Canada / Toronto + US / New York","Professional services / legal","Cross-border firm with Toronto and New York offices covering immigration, corporate and international business matters","Cross-border intake, matter routing and document/status communication may benefit from a structured client-system layer","Digital Client Journey Diagnostic; Client Portal","Mastertax; AXOM",8,"VALIDATE","https://mayo.law/"
"Civitas Law","Canada / GTA","Professional services / legal","Founder-led boutique firm with 11 practice areas and multilingual service","Multi-practice intake and direct-lawyer access may create routing/qualification leverage while preserving lawyer authority","Lead + Intake System; Governed AI Intake Pilot","Mastertax; AXOM",7,"VALIDATE","https://civitaslaw.ca/"
"Ruano Guevara & Asociados","El Salvador","Professional services / accounting","Accounting, tax, audit, finance consulting and electronic-invoicing services for companies","Multi-service intake, recurring document collection and client follow-up may be systematized","Digital Client Journey Diagnostic; Client Portal","Mastertax; AXOM",7,"VALIDATE","https://www.ruanoguevara.com/"
"Mejia Asociados","El Salvador","Professional services / accounting","Accounting, audit, business consulting and electronic-invoicing services","Recurring compliance workflows and multi-service client handoffs may support a client portal or structured intake system","Lead + Intake System; Client Portal","Mastertax; AXOM",7,"VALIDATE","https://www.mejiaconsultores.com/"
"ALDESA Logistica","El Salvador","Logistics / operations","Offers storage, fiscal warehousing, transport, 3PL, export, weighing and financial services","Complex service quoting, inventory/status visibility and client handoffs may support operations-system modernization","Operations System Modernization; Client Portal","Taller Express; AXOM",8,"VALIDATE","https://aldesalogistica.com/"
