account,market,type,observed_public_signal,possible_relationship,hypothesis_to_validate,state,public_source
"Meevo Digital","Canada / Toronto","Boutique development studio","Explicitly partners with startups, design firms and agencies and offers white-label or direct development","Reciprocal overflow / specialist capability relationship","May occasionally need deeper product strategy, systems or governed AI capability outside its core web/app delivery","VALIDATE","https://meevo.ca/"
"Rapid Fire Web Studio","Canada / Toronto","Boutique Webflow studio","Founder-led studio serving owner-led businesses and highlights agency partnership","Specialist partner / referral","Could refer work requiring custom product, application or AI/system depth beyond Webflow specialization","VALIDATE","https://www.rapidfireweb.com/"
"Novi Toronto","Canada / Toronto","Boutique digital studio","Small studio offering websites, app MVPs and AI customer-support experiences","Referral / reciprocal specialist support","Overlap is meaningful; only useful if a clearly complementary capability gap exists","HOLD","https://www.novitoronto.com/"
"Syntara","Canada / Toronto","Founder-led digital agency","Combines marketing, web apps, mobile apps and AI tools for SMBs","Overflow / specialist collaboration","Broad overlap means relationship must be opportunity-specific and non-competitive","HOLD","https://www.syntara.ca/"
"Tan & Fam","Canada / Toronto","Digital consultancy","Strategy, web, SEO, AI and brand for small businesses","Referral / specialist depth","Potential fit only where a client needs custom product/system engineering beyond its normal delivery model","HOLD","https://tanandfaminc.com/"
"Hydra Team","Canada / Toronto","Boutique web/design agency","In-house strategy, web design/development, CMS, e-commerce and UX/UI","Specialist technical/AI partner","Potential complementary fit around governed AI, custom product or systems work not covered by typical marketing-site delivery","VALIDATE","https://www.hydrateam.ca/"
"DigiCoders","US","Boutique development + AI agency","Small senior team focused on pixel-accurate development, DevOps and AI agents","Reciprocal specialist relationship","Strong overlap; only pursue if a defined design/product/system gap creates mutual value","HOLD","https://www.digicoders.com/"
"AgencyRelay","US","White-label agency delivery platform","Explicit white-label proposal support and overflow capacity for US agencies","Benchmark / possible ecosystem relationship","Primarily a competitive benchmark; only explore partnership if capability exchange is clearly non-overlapping","HOLD","https://www.agencyrelay.com/capabilities"
"Partnerly","US","White-label GTM partner","Protects agency client relationships and provides specialist GTM execution under partner brands","Cross-capability referral","Could be complementary where its agency network needs product/frontend/system delivery while Denysoft does not provide its GTM channels","VALIDATE","https://partnerly.us/agency-partners/"
"Agencidev","US","Product design + development studio","Embedded product partner for AI-first startups across product design, brand, strategy and full-stack","Benchmark / selective collaboration","High overlap; use primarily as positioning benchmark unless a specific collaboration emerges","HOLD","https://www.agencidev.com/"
"EMenjivar","El Salvador","Full-service digital agency","Marketing, web/apps, UI/UX, branding and video for SMEs and organizations","Specialist systems/AI partner","Potential partner where clients need deeper product/system architecture or governed AI implementation","VALIDATE","https://www.emenjivar.com/"
"FRAME","El Salvador","Marketing + software agency","UI/UX, web, mobile apps, analytics dashboards and marketing services","Specialist collaboration","Potential overflow/capability relationship, but overlap requires project-specific boundaries","HOLD","https://www.framesv.site/"
"b-viral","El Salvador","Digital growth agency","Focuses on acquisition systems and paid campaigns for Salvadoran businesses","Cross-capability referral","Could complement Denysoft when acquired leads need product/system/client-journey implementation rather than campaign management","VALIDATE","https://b-viral.com/"
"PlinkSolutions","El Salvador","Growth + CRM agency","Acquisition, web infrastructure and CRM automation with growth-partner model","Cross-capability referral","Potential complement for deeper custom products, operator systems or governed AI beyond CRM/marketing infrastructure","VALIDATE","https://plink.solutions/"
"Caverna Tecnologica","El Salvador / LATAM","White-label software provider","Explicit white-label apps/platforms for agencies","Benchmark / selective technical collaboration","Overlap exists; use as benchmark and only pursue if a clearly complementary capability or capacity exchange appears","HOLD","https://cavernatecnologica.com/software-marca-blanca-agencias/"
"JS Solution","El Salvador","Software + IT studio","Web, mobile, IT consulting and own products including a white-label loyalty platform","Technical ecosystem / referral","Could be complementary for infrastructure or local implementation needs if boundaries are explicit","VALIDATE","https://jsolutionsv.com/"
"Camarasal","El Salvador","Business chamber / ecosystem","2,000+ members nationally; public directory and business programs; majority of membership described as MIPYMEs","Research and warm-network channel","Potential source of qualified business conversations through public ecosystem activity; paid membership is not authorized","VALIDATE","https://camarasal.com/"
"INVEST El Salvador Provider Directory","El Salvador","Public business directory","Public directory of professional and business-service providers across many categories","Research channel","Useful for account discovery and sector mapping without buying prospect data","VALIDATE","https://investinelsalvador.gob.sv/es/directorios/proveedores"
"Toronto Association of Business Improvement Areas (TABIA)","Canada / Toronto","Business ecosystem","Umbrella organization for Toronto BIAs representing tens of thousands of businesses/property owners","Research / referral ecosystem","Could support local sector discovery and later ecosystem participation; no paid action authorized","VALIDATE","https://www.toronto-bia.com/members/"
"Latino Chamber of Commerce of Boulder County / Colorado directory","US / Colorado","Business ecosystem","Public member directory with Latino-owned businesses and community organizations","Research channel","Useful for company-level account discovery; any membership/sponsorship requires a later spend gate","VALIDATE","https://www.latinochamberco.org/membersdirectory"
